source_quantity,reported_uncertainty,repository_target,mapping_status,treatment,notes
internal_cooling_htc_calculation,+/-3%,prescribed internal h,nasa_informed_common_mode_envelope,apply the reported magnitude coherently to all ten prescribed h values using the existing central h-family sensitivity,This is a sensitivity envelope; NASA does not supply a probability distribution or coverage level for use as a formal CFD input uncertainty.
coolant_bulk_temperature,not reported,prescribed Tbulk,screening_only_no_quantitative_uncertainty,retain the +/-5 K and +/-10 K families as deterministic screening only,NASA Appendix A supplies the retained passage coolant temperatures but the retained uncertainty record gives no uncertainty for those values.
external_vane_surface_temperature,about +/-1 degC,NASA wall-temperature observations,experimental_uncertainty_kept_separate,report alongside CFD input sensitivity rather than folding it into the h envelope,This is an experimental measurement uncertainty and not a CFD boundary-condition perturbation.
external_htc_table_vi,regional intervals,NASA external HTC observations,experimental_interval_already_used_no_double_count,use the existing Table VI experimental HTC intervals only,The internal-HTC calculation contributes to the experimental thermal reduction; adding +/-3% independently to Table VI would risk double counting.
vane_material_thermal_conductivity,about +/-3%,solid thermal conductivity,relevant_but_unpropagated,no quantitative propagation without a dedicated conductivity sensitivity,The reported value belongs to the experimental reduction and the current CFD conductivity sensitivity has not been run.
cooling_hole_diameter,+/-0.005 cm,geometry and internal-h derivation,not_separately_combined,do not add independently to the +/-3% h envelope without decomposing source correlations,Diameter also enters the internal-HTC calculation; independent combination is not established by the source record.
cooling_hole_location,about +/-0.013 cm,solid geometry,relevant_but_unpropagated,no quantitative propagation without geometry perturbations,No corresponding solved geometry-sensitivity family exists.
free_stream_gas_temperature,about +/-11 degC,experimental gas-temperature measurement,relevant_but_not_mapped_to_current_sensitivity,keep separate from coolant Tbulk and from the current internal-cooling envelope,This gas-temperature uncertainty is not a coolant-temperature uncertainty.
pressure_measurement,+/-0.7 kPa,experimental pressure measurements,relevant_but_unpropagated,no quantitative propagation in the internal-cooling study,No matching pressure-input sensitivity family is part of this study.
reynolds_number,+/-3.1%,experimental test parameter,relevant_but_unpropagated,no quantitative propagation in the internal-cooling study,Table VII uncertainty is not reinterpreted as an internal-cooling perturbation.
mach_number,+/-0.9%,experimental test parameter,relevant_but_unpropagated,no quantitative propagation in the internal-cooling study,Table VII uncertainty is not reinterpreted as an internal-cooling perturbation.
wall_to_gas_temperature_ratio,+/-2.0%,experimental derived test parameter,do_not_treat_as_independent_input,keep as source metadata unless covariance and definition mapping are established,Tw/Tg is coupled to measured temperatures and should not be added as an independent uncertainty term by inspection.
inlet_turbulence_intensity,+/-10%,experimental test parameter,not_propagated_as_uncertainty,do not reinterpret the Transition SST 6.5% to 8.3% case as a +/-10% uncertainty run,The existing Transition SST intensity case is a model-sensitivity comparison between documented inlet levels.
